plot_id,ndvi,ndvi_cluster,ngrdi,spad,spad_cluster,cluster_id,date
4,0.3274,3,0.0012,48.36666667,0,0,20180130
5,0.2838,1,0.0012,47.87333333,0,0,20180130
6,0.3994,0,0.0137,48.26666667,0,2,20180130
7,0.5028,2,0.0312,48.34666667,0,3,20180130
8,0.4216,0,0.0133,46.74666667,3,2,20180130
9,0.4436,0,0.008,48.93333333,2,1,20180130
10,0.4532,0,0.0474,47.55333333,0,3,20180130
11,0.4998,0,0.0343,49.84,2,3,20180130
12,0.3536,3,0.0158,47.25333333,3,2,20180130
13,0.4304,0,0.01296683,46.18666667,3,2,20180130
17,0.3208,3,0.000835604,49.25333333,2,0,20180130
18,0.3844,0,0.012615877,49.76666667,2,2,20180130
19,0.3748,3,0.012006094,49.20666667,2,2,20180130
20,0.3308,3,0.003308102,48.3,0,0,20180130
22,0.4674,0,0.00908105,46.71333333,3,1,20180130
23,0.3786,3,0.011435829,46.72666667,3,2,20180130
24,0.377,3,1.56E-05,47.27333333,3,0,20180130
25,0.4882,0,0.012596284,46.11333333,3,2,20180130
26,0.5906,2,0.01465457,49.31333333,2,2,20180130
27,0.4856,0,0.005451835,49.34666667,2,1,20180130
28,0.4268,0,0.001817776,46.76,3,0,20180130
29,0.5994,2,0.019293909,45.94666667,3,2,20180130
32,0.2124,1,0.000635363,49.54,2,0,20180130
33,0.2464,1,0.000536241,50.84,2,0,20180130
34,0.4208,0,0.010285317,48.02666667,0,1,20180130
35,0.3158,3,0.006770714,47.48666667,0,1,20180130
36,0.313,3,0.003745333,47.84,0,0,20180130
37,0.2882,3,0.002653669,48.53333333,0,0,20180130
38,0.2532,1,0.001144834,46.47333333,3,0,20180130
39,0.5598,2,0.0239581,47,3,2,20180130
41,0.3882,0,0.007304847,44.24666667,1,1,20180130
42,0.4458,0,0.017551058,46.18666667,3,2,20180130
43,0.4502,0,0.005137,45.1,1,1,20180130
46,0.2776,1,0.005033103,48.56,0,1,20180130
47,0.4188,0,0.002034465,49.44,2,0,20180130
48,0.2982,3,0.004794451,48.92666667,2,1,20180130
49,0.2004,1,0.001678962,48.20666667,0,0,20180130
50,0.2602,1,0.004970716,48.02,0,1,20180130
51,0.2064,1,0.00261298,49.39333333,2,0,20180130
52,0.2514,1,0.004100656,47.55333333,0,0,20180130
53,0.2446,1,0.002125314,48.43333333,0,0,20180130
54,0.311,3,0.015117506,49.54,2,2,20180130
55,0.3534,3,0.006219762,46.77333333,3,1,20180130
56,0.4126,0,0.003813082,46.78666667,3,0,20180130
